#OTU ID	0CR1	0CRR	0HR1	0L3	0SR1	12CL1	12CL2	12CL3	12CL4g	12CL4	12CO1	12CO3	12CR1	12CR2	12CR3	12CR4	12H01	12HL1	12HL2	12HL3g	12HL3-strich	12HR1	12HR2	12HR3	12S02	12SL1	12SL2	12SL3	12SO1	12SO3	12SR1	12SR2	12SR3	3CL1	3CL2	3CL3	3CR1	3CR2	3CR3	3HL1	3HL2	3HR1	3HR2	3SL1	3SL2	3SL3	3SR1	3SR2	3SR3	6CL1	6CL2	6CL3	6CR1	6CR2	6CR3	6HL1	6HL2	6HL3	6HR1	6HR2	6HR3	6SL1	6SL2	6SL3	6SR1	6SR2	6SR3	9CL1	9CL2	9CL3	9CR1	9CR2	9CR3	9HL1	9HL2	9HL3	9HR1	9HR2	9HR3	9SL1	9SL2	9SR1	9SR2	9SR3	C-day-1	C-day-2a	C-day-2b	C-day-2c	C-day-3	C-day-4	CF	Mock1-L	Mock1-R	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC11	NC12	NC13	OL1	Consensus Lineage
ZOTU12	9997	0	11547	6	3910	1	0	0	0	2	51	365	2	3	0	2	83	0	1	0	0	4	1	1	8534	1	1	1	7658	8749	3	4	0	3	2	1	3436	614	2764	2	3	1313	103	1	0	2	35	23	73	1	0	0	101	72	127	0	0	1	171	158	123	2	1	0	7	3	1	0	4	0	7	6	7	2	0	1	10	5	2	1	0	13	8	6	0	1	0	0	3	1	23	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
ZOTU51	2599	0	0	1	1336	0	0	20	2	0	1	13	1	0	0	0	0	1	0	54	54	3	0	0	995	1	0	0	592	500	2	2	0	2	0	0	341	124	179	1	0	0	5	0	0	0	22	3	3	0	0	3	38	34	39	0	0	41	0	0	3	0	2	1	2	0	0	2	2	0	0	1	1	5	0	238	0	0	0	0	0	1	0	0	0	0	74	1	0	2	1	0	0	1	103	32	1	0	1	0	1559	1	15	1	0	0	2	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
ZOTU50	6559	0	0	3	1166	0	0	0	0	1	4	20	0	0	0	0	0	0	0	0	0	0	0	0	442	1	1	0	323	386	0	1	0	1	1	0	437	126	265	0	1	0	5	0	0	0	13	2	0	0	0	1	67	46	56	0	0	0	0	0	5	0	0	0	1	4	0	12	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
ZOTU32	8516	0	17	2	2569	6	0	0	3	0	4	20	0	0	0	0	0	0	0	0	0	3	0	0	552	3	0	2	442	448	2	3	0	0	2	1	596	165	312	0	3	2	5	0	0	0	10	3	4	2	1	0	110	90	83	0	0	0	0	0	6	0	0	0	0	3	1	0	0	0	2	7	3	2	0	0	0	0	2	2	0	3	1	1	0	0	0	0	0	1	2	7352	3469	0	0	0	0	0	0	0	0	1	0	0	0	0	3	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
ZOTU59	112	188	2252	1	83	0	0	0	0	0	157	59	0	0	0	2	351	0	0	0	0	8	4	5	37	1	0	0	40	32	11	4	1	0	1	0	62	27	56	0	468	1882	161	0	0	0	26	14	129	0	0	0	4	23	14	0	0	0	244	298	229	0	0	0	1	1	13	0	1	0	0	2	0	0	0	0	20	9	4	0	0	4	1	1	0	1	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
ZOTU48	2253	0	1	7	834	27	327	97	1	26	2	9	0	0	5	0	0	94	19	7	52	0	0	1	1326	1	1	9	732	895	34	3	0	100	251	0	398	116	199	0	255	0	7	1	562	0	13	8	8	12	4	52	46	27	30	31	5	111	1	0	5	280	222	0	2	2	0	4	1	1	1	4	3	7	0	141	0	0	1	3	12	3	0	1	1	43	491	102	0	389	4	0	0	334	1093	11	1	9	139	63	1	11	4	0	121	0	60	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
ZOTU410	21	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
ZOTU88	389	0	179	0	974	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	18	0	0	0	14	9	0	0	1	0	0	0	31	89	40	0	1	112	7	0	0	0	18	1	5	1	0	0	163	22	57	0	0	0	23	23	17	1	0	0	0	3	1	0	0	1	2	4	12	0	0	0	16	6	4	1	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__; f__; g__; s__
ZOTU199	330	0	2	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12	10	0	0	0	0	0	0	20	7	14	0	2	0	0	0	0	0	1	1	0	0	0	0	6	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
ZOTU95	422	1	0	0	131	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	251	1	0	0	143	109	0	4	0	0	0	0	143	49	78	0	0	0	1	0	0	0	13	1	2	0	0	416	64	12	20	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
