Taxa;Fish_FreshDiet;Fish_ConditionedDiet;Fish_AnteriorMidgut;Fish_MiddleMidgut;Fish_PosteriorMidgut;VegMix_FreshDiet;VegMix_ConditionedDiet;VegMix_AnteriorMidgut;VegMix_MiddleMidgut;VegMix_PosteriorMidgut;Standard_FreshDiet;Standard_ConditionedDiet;Standard_AnteriorMidgut;Standard_MiddleMidgut;Standard_PosteriorMidgut;;;;;;;;;;;;;
Others;0.000458333;0.001541667;0.000958333;0.000583333;0;0.043208333;0.004958333;0.000791667;0.000166667;0.000166667;0.001541667;0.002416667;0.001041667;0.000375;0.001041667;;;;;;;;;;;;;
"Acidobacteria;c__Acidobacteria";0;0;0;0;0;0.000166667;0.000583333;0;0;0;0;4.16666E-05;0;0.000166667;4.16666E-05;;;;;;;;;;;;;
"Acidobacteria;c__Chloracidobacteria";0;0;0;0;0;8.33334E-05;0.00025;0;0;4.16666E-05;0;0;0;0.000208333;0;;;;;;;;;;;;;
"Acidobacteria;c__Solibacteres;f__Solibacteraceae;g__CandidatusSolibacter";4.16666E-05;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria";0.000375;0;0;0;4.16666E-05;0.000166667;0.00125;0;0.000875;0.001041667;0.002291667;0.002708333;0.001166667;0.000625;0.000791666;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__AKIW874";0;0;0;0;0;0.000166667;4.16666E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Actinomycetaceae";0;0;0;0;4.16666E-05;4.16666E-05;0.001041667;0;0;0.000791667;0.001625;8.33332E-05;0;4.16666E-05;0.00275;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Actinomycetaceae;g__Actinomyces";0.000666667;0;0;0;0;0.00075;0.000208333;8.33332E-05;0.000416667;0.018708333;0.004333333;0.000291667;4.16666E-05;0.000541667;0.018083333;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Beutenbergiaceae";0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0.000166667;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Bifidobacteriaceae";0;0;0;0;0;0.003791667;0;0;0;0;0.000958333;0;0;8.33332E-05;0.000291667;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Bifidobacteriaceae;g__Bifidobacterium";0.000166667;0;0;0;0;8.33334E-05;0.014791667;0;4.16666E-05;0.000125;0.001;0.000166667;0;8.33334E-05;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Bogoriellaceae;g__Georgenia";0;0;0;0;0;0;4.16666E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Brevibacteriaceae;g__Brevibacterium";0;0;0;0;0;0;0;0;4.16666E-05;0.000125;4.16666E-05;0;0;8.33332E-05;0.000125;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__CL500-29";0;0;0;0;0;0;0.001125;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Cellulomonadaceae";4.16666E-05;0;0;0;0;0;4.16666E-05;4.16666E-05;0.012583334;4.16666E-05;4.16666E-05;0.000166667;0.000208333;0.024916666;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Cellulomonadaceae;g__Cellulomonas";0;0;0;0;0;0;0;0;4.16666E-05;8.33334E-05;4.16666E-05;0;0;0.00025;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Cellulomonadaceae;g__Oerskovia";0;0;0;0;0;0;0;0;0;0;0;0.000125;4.16666E-05;4.16666E-05;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Coriobacteriaceae";0.000125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Coriobacteriaceae;g__Atopobium";0.007333333;0;0;0;0;0.000166667;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Coriobacteriaceae;g__Collinsella";0;0;0;0;0;0;0.000958333;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Coriobacteriaceae;g__Eggerthella";0.001958333;0;0;0;0;0;0.001041667;0;0;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Coriobacteriaceae;g__Olsenella";8.33332E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Corynebacteriaceae";0.000166667;0;0;0;0;0.002125;0;0;0;0;0;0;0;0;8.33332E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Corynebacteriaceae;g__Corynebacterium";0.003666667;0.004666667;0.000666667;0.000833333;8.33334E-05;0.003666667;0.003916667;0.000125;0.000833333;0.003041667;0.003125;0.000458333;8.33332E-05;0.001833333;0.002791667;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Dermabacteraceae;g__Brachybacterium";0.000166667;0;0;0;0;4.16666E-05;0.000666667;0;4.16666E-05;0.000208333;4.16666E-05;0;0;4.16666E-05;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Dietziaceae";0;0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Dietziaceae;g__Dietzia";4.16666E-05;0;0;0;0;0.000708333;0;0;0;0.000458333;0;0;0;0;8.33334E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__EB1017";0;0;0;0;0;0;0;0;8.33334E-05;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Frankiaceae";0.000125;0;0;0;0;0;0.00075;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Geodermatophilaceae";0.000291667;0;0;0;4.16666E-05;0.001625;0.000666666;0;0;0.000125;8.33332E-05;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Geodermatophilaceae;g__Geodermatophilus";0;0;0;0;0;0;0.000375;0;0;0;0;0;4.16666E-05;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Gordoniaceae;g__Gordonia";0.000125;0;0;0;0;0;0;4.16666E-05;0.000125;0.001125;0.00075;8.33332E-05;0;0;0.001458333;;;;;;;;;;;;;
